Category: All categories

Month,Dungeons & Dragons: (United States)
2004-01,39
2004-02,35
2004-03,38
2004-04,34
2004-05,34
2004-06,36
2004-07,41
2004-08,39
2004-09,37
2004-10,34
2004-11,31
2004-12,35
2005-01,33
2005-02,31
2005-03,31
2005-04,31
2005-05,31
2005-06,34
2005-07,36
2005-08,34
2005-09,31
2005-10,35
2005-11,32
2005-12,36
2006-01,37
2006-02,36
2006-03,42
2006-04,31
2006-05,33
2006-06,30
2006-07,31
2006-08,29
2006-09,30
2006-10,26
2006-11,26
2006-12,29
2007-01,25
2007-02,24
2007-03,25
2007-04,25
2007-05,24
2007-06,26
2007-07,28
2007-08,29
2007-09,25
2007-10,24
2007-11,23
2007-12,24
2008-01,24
2008-02,24
2008-03,29
2008-04,26
2008-05,26
2008-06,37
2008-07,30
2008-08,27
2008-09,23
2008-10,21
2008-11,23
2008-12,24
2009-01,24
2009-02,24
2009-03,26
2009-04,26
2009-05,25
2009-06,26
2009-07,26
2009-08,26
2009-09,27
2009-10,25
2009-11,24
2009-12,22
2010-01,24
2010-02,24
2010-03,23
2010-04,24
2010-05,24
2010-06,24
2010-07,23
2010-08,22
2010-09,21
2010-10,20
2010-11,20
2010-12,20
2011-01,24
2011-02,25
2011-03,22
2011-04,22
2011-05,26
2011-06,26
2011-07,26
2011-08,25
2011-09,22
2011-10,22
2011-11,19
2011-12,19
2012-01,24
2012-02,22
2012-03,23
2012-04,24
2012-05,24
2012-06,26
2012-07,24
2012-08,23
2012-09,22
2012-10,20
2012-11,21
2012-12,24
2013-01,26
2013-02,26
2013-03,26
2013-04,24
2013-05,28
2013-06,28
2013-07,28
2013-08,29
2013-09,26
2013-10,24
2013-11,24
2013-12,25
2014-01,29
2014-02,26
2014-03,25
2014-04,25
2014-05,27
2014-06,26
2014-07,32
2014-08,34
2014-09,30
2014-10,27
2014-11,28
2014-12,28
2015-01,32
2015-02,30
2015-03,31
2015-04,31
2015-05,32
2015-06,30
2015-07,32
2015-08,34
2015-09,32
2015-10,31
2015-11,29
2015-12,31
2016-01,37
2016-02,36
2016-03,35
2016-04,36
2016-05,36
2016-06,39
2016-07,37
2016-08,41
2016-09,44
2016-10,40
2016-11,40
2016-12,44
2017-01,48
2017-02,51
2017-03,53
2017-04,53
2017-05,50
2017-06,52
2017-07,51
2017-08,51
2017-09,50
2017-10,55
2017-11,65
2017-12,63
2018-01,70
2018-02,69
2018-03,64
2018-04,65
2018-05,68
2018-06,72
2018-07,74
2018-08,75
2018-09,75
2018-10,69
2018-11,72
2018-12,75
2019-01,81
2019-02,83
2019-03,85
2019-04,76
2019-05,83
2019-06,90
2019-07,92
2019-08,93
2019-09,90
2019-10,83
2019-11,86
2019-12,85
2020-01,93
2020-02,92
2020-03,92
2020-04,97
2020-05,98
2020-06,96
2020-07,100
2020-08,98
2020-09,90
2020-10,85
2020-11,80
2020-12,83
2021-01,84
2021-02,86
2021-03,81
2021-04,78
2021-05,81
2021-06,89
2021-07,93
2021-08,83
2021-09,76
2021-10,87
2021-11,87
2021-12,78
2022-01,79
2022-02,81
2022-03,75
